"","Status_of_existing_checking_account","Duration_in_month","Credit_history","Purpose","Credit_amount","Savings_account_bonds","Present_employment_since","Installment_rate_in_percentage_of_disposable_income","Personal_status_and_sex","Other_debtors_guarantors","Present_residence_since","Property","Age_in_years","Other_installment_plans","Housing","Number_of_existing_credits_at_this_bank","Job","Number_of_people_being_liable_to_provide_maintenance_for","Telephone","foreign_worker","Good_Loan"
"600","no checking account",24,"delay in paying off in the past","business",3863,"... < 100 DM","1 < =  ... < 4 years",1,"male : single","none",2,"unknown / no property",32,"none","for free",1,"skilled employee / official",1,"none","yes","GoodLoan"
"601","0 < =  ... < 200 DM",7,"existing credits paid back duly till now","radio/television",2329,"... < 100 DM","... < 1 year",1,"female : divorced/separated/married","guarantor",1,"real estate",45,"none","own",1,"skilled employee / official",1,"none","yes","GoodLoan"
"602","0 < =  ... < 200 DM",9,"existing credits paid back duly till now","furniture/equipment",918,"... < 100 DM","1 < =  ... < 4 years",4,"female : divorced/separated/married","none",1,"if not A121 : building society savings agreement/life insurance",30,"none","own",1,"skilled employee / official",1,"none","yes","BadLoan"
"603","0 < =  ... < 200 DM",24,"all credits at this bank paid back duly","education",1837,"... < 100 DM","4 < =  ... < 7 years",4,"female : divorced/separated/married","none",4,"unknown / no property",34,"bank","for free",1,"unskilled - resident",1,"none","yes","BadLoan"
"604","no checking account",36,"existing credits paid back duly till now","furniture/equipment",3349,"... < 100 DM","1 < =  ... < 4 years",4,"female : divorced/separated/married","none",2,"if not A121/A122 : car or other, not in attribute 6",28,"none","own",1,"management/ self-employed/highly qualified employee/ officer",1,"yes, registered under the customers name","yes","BadLoan"
"605","... > =  200 DM / salary assignments for at least 1 year",10,"existing credits paid back duly till now","furniture/equipment",1275,"... < 100 DM","... < 1 year",4,"female : divorced/separated/married","none",2,"if not A121 : building society savings agreement/life insurance",23,"none","own",1,"skilled employee / official",1,"none","yes","GoodLoan"
"606","... < 0 DM",24,"all credits at this bank paid back duly","furniture/equipment",2828,"500 < =  ... < 1000 DM","1 < =  ... < 4 years",4,"male : single","none",4,"real estate",22,"stores","own",1,"skilled employee / official",1,"yes, registered under the customers name","yes","GoodLoan"
"607","no checking account",24,"critical account/other credits existing (not at this bank)","business",4526,"... < 100 DM","1 < =  ... < 4 years",3,"male : single","none",2,"real estate",74,"none","own",1,"management/ self-employed/highly qualified employee/ officer",1,"yes, registered under the customers name","yes","GoodLoan"
"608","0 < =  ... < 200 DM",36,"existing credits paid back duly till now","radio/television",2671,"100 < =  ... < 500 DM","1 < =  ... < 4 years",4,"female : divorced/separated/married","co-applicant",4,"unknown / no property",50,"none","for free",1,"skilled employee / official",1,"none","yes","BadLoan"
"609","no checking account",18,"existing credits paid back duly till now","radio/television",2051,"... < 100 DM","... < 1 year",4,"male : single","none",1,"real estate",33,"none","own",1,"skilled employee / official",1,"none","yes","GoodLoan"
"610","no checking account",15,"existing credits paid back duly till now","car (used)",1300,"unknown/ no savings account",".. > =  7 years",4,"male : single","none",4,"unknown / no property",45,"bank","for free",1,"skilled employee / official",2,"none","yes","GoodLoan"
"611","... < 0 DM",12,"existing credits paid back duly till now","domestic appliances",741,"100 < =  ... < 500 DM","unemployed",4,"female : divorced/separated/married","none",3,"if not A121 : building society savings agreement/life insurance",22,"none","own",1,"skilled employee / official",1,"none","yes","BadLoan"
"612","... > =  200 DM / salary assignments for at least 1 year",10,"existing credits paid back duly till now","car (new)",1240,"100 < =  ... < 500 DM",".. > =  7 years",1,"female : divorced/separated/married","none",4,"unknown / no property",48,"none","for free",1,"unskilled - resident",2,"none","yes","BadLoan"
"613","... < 0 DM",21,"existing credits paid back duly till now","radio/television",3357,".. > =  1000 DM","... < 1 year",4,"female : divorced/separated/married","none",2,"if not A121/A122 : car or other, not in attribute 6",29,"bank","own",1,"skilled employee / official",1,"none","yes","GoodLoan"
"614","... < 0 DM",24,"all credits at this bank paid back duly","car (used)",3632,"... < 100 DM","1 < =  ... < 4 years",1,"female : divorced/separated/married","guarantor",4,"if not A121/A122 : car or other, not in attribute 6",22,"bank","rent",1,"skilled employee / official",1,"none","no","GoodLoan"
"615","no checking account",18,"delay in paying off in the past","furniture/equipment",1808,"... < 100 DM","4 < =  ... < 7 years",4,"female : divorced/separated/married","none",1,"real estate",22,"none","own",1,"skilled employee / official",1,"none","yes","BadLoan"
"616","0 < =  ... < 200 DM",48,"no credits taken/all credits paid back duly","business",12204,"unknown/ no savings account","1 < =  ... < 4 years",2,"male : single","none",2,"if not A121/A122 : car or other, not in attribute 6",48,"bank","own",1,"management/ self-employed/highly qualified employee/ officer",1,"yes, registered under the customers name","yes","GoodLoan"
"617","0 < =  ... < 200 DM",60,"delay in paying off in the past","radio/television",9157,"unknown/ no savings account","1 < =  ... < 4 years",2,"male : single","none",2,"unknown / no property",27,"none","for free",1,"management/ self-employed/highly qualified employee/ officer",1,"none","yes","GoodLoan"
"618","... < 0 DM",6,"critical account/other credits existing (not at this bank)","car (new)",3676,"... < 100 DM","1 < =  ... < 4 years",1,"male : single","none",3,"real estate",37,"none","rent",3,"skilled employee / official",2,"none","yes","GoodLoan"
"619","0 < =  ... < 200 DM",30,"existing credits paid back duly till now","furniture/equipment",3441,"100 < =  ... < 500 DM","1 < =  ... < 4 years",2,"female : divorced/separated/married","co-applicant",4,"if not A121/A122 : car or other, not in attribute 6",21,"none","rent",1,"skilled employee / official",1,"none","yes","BadLoan"
"620","no checking account",12,"existing credits paid back duly till now","car (new)",640,"... < 100 DM","1 < =  ... < 4 years",4,"male : divorced/separated","none",2,"real estate",49,"none","own",1,"unskilled - resident",1,"none","yes","GoodLoan"
"621","0 < =  ... < 200 DM",21,"critical account/other credits existing (not at this bank)","business",3652,"... < 100 DM","4 < =  ... < 7 years",2,"male : single","none",3,"if not A121 : building society savings agreement/life insurance",27,"none","own",2,"skilled employee / official",1,"none","yes","GoodLoan"
"622","no checking account",18,"critical account/other credits existing (not at this bank)","car (new)",1530,"... < 100 DM","1 < =  ... < 4 years",3,"male : single","none",2,"if not A121 : building society savings agreement/life insurance",32,"bank","own",2,"skilled employee / official",1,"none","yes","BadLoan"
"623","no checking account",48,"existing credits paid back duly till now","business",3914,"unknown/ no savings account","1 < =  ... < 4 years",4,"male : divorced/separated","none",2,"real estate",38,"bank","own",1,"skilled employee / official",1,"none","yes","BadLoan"
"624","... < 0 DM",12,"existing credits paid back duly till now","furniture/equipment",1858,"... < 100 DM","... < 1 year",4,"female : divorced/separated/married","none",1,"if not A121/A122 : car or other, not in attribute 6",22,"none","rent",1,"skilled employee / official",1,"none","yes","GoodLoan"
"625","... < 0 DM",18,"existing credits paid back duly till now","radio/television",2600,"... < 100 DM","1 < =  ... < 4 years",4,"male : single","none",4,"unknown / no property",65,"none","for free",2,"skilled employee / official",1,"none","yes","BadLoan"
"626","no checking account",15,"existing credits paid back duly till now","radio/television",1979,"unknown/ no savings account",".. > =  7 years",4,"male : single","none",2,"if not A121/A122 : car or other, not in attribute 6",35,"none","own",1,"skilled employee / official",1,"none","yes","GoodLoan"
"627","... > =  200 DM / salary assignments for at least 1 year",6,"existing credits paid back duly till now","furniture/equipment",2116,"... < 100 DM","1 < =  ... < 4 years",2,"male : single","none",2,"real estate",41,"none","own",1,"skilled employee / official",1,"yes, registered under the customers name","yes","GoodLoan"
"628","0 < =  ... < 200 DM",9,"all credits at this bank paid back duly","car (new)",1437,"100 < =  ... < 500 DM","4 < =  ... < 7 years",2,"male : single","none",3,"unknown / no property",29,"none","own",1,"skilled employee / official",1,"none","yes","BadLoan"
"629","no checking account",42,"critical account/other credits existing (not at this bank)","furniture/equipment",4042,"500 < =  ... < 1000 DM","1 < =  ... < 4 years",4,"male : single","none",4,"real estate",36,"none","own",2,"skilled employee / official",1,"yes, registered under the customers name","yes","GoodLoan"
"630","no checking account",9,"existing credits paid back duly till now","education",3832,"unknown/ no savings account",".. > =  7 years",1,"male : single","none",4,"real estate",64,"none","own",1,"unskilled - resident",1,"none","yes","GoodLoan"
"631","... < 0 DM",24,"existing credits paid back duly till now","radio/television",3660,"... < 100 DM","1 < =  ... < 4 years",2,"female : divorced/separated/married","none",4,"if not A121/A122 : car or other, not in attribute 6",28,"none","own",1,"skilled employee / official",1,"none","yes","GoodLoan"
"632","... < 0 DM",18,"all credits at this bank paid back duly","furniture/equipment",1553,"... < 100 DM","1 < =  ... < 4 years",4,"male : single","none",3,"if not A121/A122 : car or other, not in attribute 6",44,"bank","own",1,"skilled employee / official",1,"none","yes","BadLoan"
"633","0 < =  ... < 200 DM",15,"existing credits paid back duly till now","radio/television",1444,"unknown/ no savings account","... < 1 year",4,"male : single","none",1,"if not A121 : building society savings agreement/life insurance",23,"none","own",1,"skilled employee / official",1,"none","yes","GoodLoan"
"634","no checking account",9,"existing credits paid back duly till now","furniture/equipment",1980,"... < 100 DM","... < 1 year",2,"female : divorced/separated/married","co-applicant",2,"if not A121/A122 : car or other, not in attribute 6",19,"none","rent",2,"skilled employee / official",1,"none","yes","BadLoan"
"635","0 < =  ... < 200 DM",24,"existing credits paid back duly till now","car (new)",1355,"... < 100 DM","... < 1 year",3,"female : divorced/separated/married","none",4,"if not A121/A122 : car or other, not in attribute 6",25,"none","own",1,"unskilled - resident",1,"yes, registered under the customers name","yes","BadLoan"
"636","no checking account",12,"existing credits paid back duly till now","education",1393,"... < 100 DM",".. > =  7 years",4,"male : single","none",4,"if not A121 : building society savings agreement/life insurance",47,"bank","own",3,"skilled employee / official",2,"yes, registered under the customers name","yes","GoodLoan"
"637","no checking account",24,"existing credits paid back duly till now","radio/television",1376,"500 < =  ... < 1000 DM","4 < =  ... < 7 years",4,"female : divorced/separated/married","none",1,"if not A121/A122 : car or other, not in attribute 6",28,"none","own",1,"skilled employee / official",1,"none","yes","GoodLoan"
"638","no checking account",60,"delay in paying off in the past","radio/television",15653,"... < 100 DM","4 < =  ... < 7 years",2,"male : single","none",4,"if not A121/A122 : car or other, not in attribute 6",21,"none","own",2,"skilled employee / official",1,"yes, registered under the customers name","yes","GoodLoan"
